,Name,IATA,OrgDelayMax,OrgDelayMin,OrgDelayQ2,OrgDelayQ3,OrgDelayQ1,DestDelayMax,DestDelayMin,DestDelayQ2,DestDelayQ3,DestDelayQ1,AirTimeDiffMax,AirTimeDiffMin,AirTimeDiffQ2,AirTimeDiffQ3,AirTimeDiffQ1,Count
14, All Airlines,all,1988.0,-48.0,-2.0,9.0,-5.0,1971.0,-82.0,-4.0,10.0,-13.0,237.0,-77.0,-5.0,2.0,-12.0,457013
1,Alaska Airlines,AS,444.0,-47.0,-4.0,1.0,-8.0,451.0,-82.0,-6.0,5.0,-15.0,109.0,-67.0,-3.0,4.0,-11.0,13151
0,American Airlines,AA,1988.0,-29.0,-2.0,9.0,-5.0,1971.0,-69.0,-3.0,11.0,-13.0,172.0,-65.0,-4.0,3.0,-11.0,43074
7,American Eagle Airlines,MQ,780.0,-29.0,-1.0,20.0,-5.0,788.0,-60.0,3.0,28.0,-9.0,158.0,-56.0,-1.0,7.0,-7.0,27568
4,Atlantic Southeast Airlines,EV,726.0,-33.0,-3.0,7.0,-6.0,723.0,-60.0,-3.0,12.0,-12.0,198.0,-53.0,-3.0,5.0,-9.0,48084
3,Delta Air Lines,DL,1184.0,-26.0,-2.0,3.0,-4.0,1174.0,-72.0,-8.0,2.0,-17.0,237.0,-72.0,-9.0,-1.0,-16.0,63676
5,Frontier Airlines,F9,696.0,-32.0,-1.0,18.0,-7.0,686.0,-47.0,2.0,22.0,-9.0,101.0,-44.0,-1.0,7.0,-8.0,6735
6,Hawaiian Airlines,HA,1003.0,-26.0,-4.0,2.0,-7.0,1013.0,-52.0,-1.0,7.0,-6.0,92.0,-47.0,2.0,5.0,-1.0,6408
2,JetBlue Airways,B6,500.0,-27.0,-2.0,10.0,-6.0,502.0,-76.0,-3.0,14.0,-13.0,194.0,-73.0,-4.0,4.0,-11.0,20482
9,SkyWest,OO,931.0,-48.0,-3.0,10.0,-6.0,916.0,-57.0,-2.0,14.0,-11.0,206.0,-54.0,-2.0,5.0,-9.0,46655
13,Southwest Airlines,WN,604.0,-15.0,0.0,11.0,-4.0,593.0,-63.0,-4.0,9.0,-12.0,131.0,-63.0,-6.0,0.0,-12.0,98060
8,Spirit Airlines,NK,557.0,-28.0,-1.0,14.0,-6.0,570.0,-59.0,-1.0,17.0,-11.0,120.0,-57.0,-3.0,5.0,-10.0,8632
11,US Airways,US,638.0,-26.0,-3.0,3.0,-6.0,621.0,-67.0,-4.0,9.0,-12.0,129.0,-66.0,-3.0,4.0,-10.0,32478
10,United Airlines,UA,886.0,-40.0,2.0,15.0,-3.0,863.0,-69.0,-4.0,12.0,-14.0,205.0,-70.0,-9.0,-1.0,-16.0,37363
12,Virgin America,VX,397.0,-20.0,-2.0,5.0,-5.0,384.0,-70.0,-5.0,7.0,-14.0,169.0,-77.0,-5.0,3.0,-13.0,4647
